Variable,Value
date,19950906
dayofweek,Wed
visitorteam,CAL
hometeam,BAL
visitorrunsscored,2
homerunsscore,4
daynight,N
parkid,BAL12
attendance,46272
duration,215
visitorlinescore,100000010
homelinescore,10020010x
homeab,34
homeh,9
homehr,4
homerbi,4
homebb,1
homek,8
homegdp,0
homelob,7
homepo,27
homea,8
homee,0
umpirehname,Larry Barnett
umpire1bname,Greg Kosc
umpire2bname,Dan Morrison
umpire3bname,Al Clark
visitormanagername,Marcel Lacheman
homemanagername,Phil Regan
homestartingpitchername,Mike Mussina
homebatting1name,Brady Anderson
homebatting1position,8
homebatting2name,Manny Alexander
homebatting2position,4
homebatting3name,Rafael Palmeiro
homebatting3position,3
homebatting4name,Bobby Bonilla
homebatting4position,9
homebatting5name,Cal Ripken
homebatting5position,6
homebatting6name,Harold Baines
homebatting6position,10
homebatting7name,Chris Hoiles
homebatting7position,2
homebatting8name,Jeff Huson
homebatting8position,5
homebatting9name,Mark Smith
homebatting9position,7
